chr,center,TSS,score,gene
chr21,10455196,10413477,0.043212,BAGE2
chr21,10444035,10413477,0.015767,BAGE2
chr21,10419047,10413477,0.233514,BAGE2
chr21,10416664,10413477,0.197789,BAGE2
chr21,14383470,10413477,0.019976,BAGE2
chr21,14383470,14582202,0.159866,SAMSN1-AS1
chr21,14383470,15065936,0.063866,NRIP1
chr21,14383470,15729982,0.058978,USP25
chr21,14383470,15928296,0.052628,MIR99AHG
chr21,14383470,17513043,0.019538,CXADR
chr21,14383470,17612945,0.031449,BTG3
chr21,14383470,17819386,0.020581,C21orf91
chr21,14534142,14582202,0.02193,SAMSN1-AS1
chr21,14592066,14582202,0.021309,SAMSN1-AS1
chr21,14603395,14582202,0.018962,SAMSN1-AS1
chr21,14864654,14582202,0.018299,SAMSN1-AS1
chr21,14864654,15065936,0.019941,NRIP1
chr21,15016220,15065936,0.01525,NRIP1
chr21,15052190,15065936,0.016824,NRIP1
chr21,15058987,15065936,0.059232,NRIP1
chr21,15064289,14582202,0.015805,SAMSN1-AS1
chr21,15064289,15065936,0.090391,NRIP1
chr21,15065317,14383484,0.031379,HSPA13
chr21,15065317,14582202,0.071081,SAMSN1-AS1
chr21,15065317,15729982,0.045288,USP25
chr21,15065317,15928296,0.046623,MIR99AHG
chr21,15065317,17513043,0.020372,CXADR
chr21,15065317,17612945,0.025954,BTG3
chr21,15293352,14582202,0.019961,SAMSN1-AS1
chr21,15706835,15729982,0.018651,USP25
chr21,15729871,14582202,0.019876,SAMSN1-AS1
chr21,15729871,15928296,0.019783,MIR99AHG
chr21,15732516,15729982,0.038423,USP25
chr21,15754759,14582202,0.016556,SAMSN1-AS1
chr21,15754759,15729982,0.059686,USP25
chr21,15754759,15928296,0.016942,MIR99AHG
chr21,15789318,15729982,0.022441,USP25
chr21,15837853,15729982,0.01612,USP25
chr21,16194331,14582202,0.019799,SAMSN1-AS1
chr21,16194331,15729982,0.02306,USP25
chr21,16194331,15928296,0.067648,MIR99AHG
chr21,16194331,17513043,0.016466,CXADR
chr21,16194331,17612945,0.015874,BTG3
chr21,16211969,15928296,0.032632,MIR99AHG
chr21,16303035,15928296,0.015258,MIR99AHG
chr21,16573738,15928296,0.016458,MIR99AHG
chr21,16588567,15928296,0.031982,MIR99AHG
chr21,17454694,15729982,0.017996,USP25
chr21,17454694,15928296,0.02556,MIR99AHG
chr21,17454694,17513043,0.066051,CXADR
chr21,17454694,17612945,0.03187,BTG3
chr21,17454694,17819386,0.01669,C21orf91
chr21,17461477,17513043,0.034792,CXADR
chr21,17461477,17612945,0.018749,BTG3
chr21,17492234,15928296,0.026164,MIR99AHG
chr21,17492234,17513043,0.108316,CXADR
chr21,17492234,17612945,0.038124,BTG3
chr21,17492234,17819386,0.019129,C21orf91
chr21,17511863,17513043,0.039303,CXADR
chr21,17513747,15928296,0.017711,MIR99AHG
chr21,17513747,17513043,0.187255,CXADR
chr21,17513747,17612945,0.026709,BTG3
chr21,17527372,17513043,0.042811,CXADR
chr21,17542763,17513043,0.022741,CXADR
chr21,17611835,15928296,0.029656,MIR99AHG
