chr,center,TSS,score,gene
chr8,232588,406428,0.051285,FBXO25
chr8,232588,738106,0.017646,ERICH1
chr8,404808,406428,0.10185,FBXO25
chr8,630160,232137,0.026198,ZNF596
chr8,630160,232231,0.026198,RPL23AP53
chr8,630160,406428,0.050289,FBXO25
chr8,630160,738106,0.071884,ERICH1
chr8,630160,1755778,0.018712,CLN8
chr8,688273,738106,0.027441,ERICH1
chr8,731139,406428,0.03601,FBXO25
chr8,1745697,232137,0.024374,ZNF596
chr8,1745697,232231,0.024375,RPL23AP53
chr8,1745697,406428,0.047033,FBXO25
chr8,1745697,738106,0.039191,ERICH1
chr8,1745697,1755778,0.131929,CLN8
chr8,1745697,1823926,0.094739,ARHGEF10
chr8,1746945,1755778,0.025637,CLN8
chr8,1755850,1755778,0.030706,CLN8
chr8,1760200,1755778,0.06509,CLN8
chr8,1763404,232137,0.017242,ZNF596
chr8,1763404,232231,0.017242,RPL23AP53
chr8,1763404,1823926,0.027033,ARHGEF10
chr8,1764713,1755778,0.096258,CLN8
chr8,1764713,1823926,0.015406,ARHGEF10
chr8,1766900,1755778,0.074575,CLN8
chr8,1766900,1823926,0.015731,ARHGEF10
chr8,1781529,1755778,0.022946,CLN8
chr8,1781529,1823926,0.016043,ARHGEF10
chr8,1788179,1823926,0.019774,ARHGEF10
chr8,1817370,1755778,0.023273,CLN8
chr8,1817370,1823926,0.202375,ARHGEF10
chr8,1818186,1823926,0.04508,ARHGEF10
chr8,2127512,232137,0.023801,ZNF596
chr8,2127512,232231,0.023802,RPL23AP53
chr8,2127512,406428,0.0312,FBXO25
chr8,2127512,738106,0.032257,ERICH1
chr8,2127512,1755778,0.02468,CLN8
chr8,2127512,1823926,0.036956,ARHGEF10
chr8,2146853,406428,0.016979,FBXO25
chr8,2146853,738106,0.021567,ERICH1
chr8,2146853,1823926,0.023396,ARHGEF10
chr8,6405821,6406592,0.10628,MCPH1
chr8,6406569,6563409,0.030872,ANGPT2
chr8,6406569,6708224,0.027133,MCPH1-AS1
chr8,6406569,6708642,0.027133,AGPAT5
chr8,6406569,6951599,0.018722,DEFA8P
chr8,6407360,6406592,0.078995,MCPH1
chr8,6417655,6406592,0.094805,MCPH1
chr8,6417655,6563409,0.0833,ANGPT2
chr8,6417655,6708224,0.051336,MCPH1-AS1
chr8,6417655,6708642,0.051336,AGPAT5
chr8,6417655,6951599,0.029746,DEFA8P
chr8,6426743,6406592,0.020454,MCPH1
chr8,6426743,6563409,0.024947,ANGPT2
chr8,6426743,6708224,0.015277,MCPH1-AS1
chr8,6426743,6708642,0.015277,AGPAT5
chr8,6428728,6406592,0.024822,MCPH1
chr8,6428728,6563409,0.035885,ANGPT2
chr8,6428728,6708224,0.018764,MCPH1-AS1
chr8,6428728,6708642,0.018764,AGPAT5
chr8,6572412,6563409,0.055107,ANGPT2
chr8,6690418,6406592,0.017855,MCPH1
chr8,6690418,6563409,0.031127,ANGPT2
chr8,6690418,6708224,0.052144,MCPH1-AS1
chr8,6690418,6708642,0.052145,AGPAT5
chr8,6690418,6951599,0.015483,DEFA8P
chr8,6708623,6406592,0.047875,MCPH1
chr8,6708623,6563409,0.071881,ANGPT2
chr8,6708623,6951599,0.032506,DEFA8P
chr8,6718329,6708224,0.040727,MCPH1-AS1
chr8,6718329,6708642,0.040724,AGPAT5
chr8,6729606,6708224,0.026179,MCPH1-AS1
chr8,6729606,6708642,0.026178,AGPAT5
chr8,6939766,6951599,0.024537,DEFA8P
chr8,6953763,6951599,0.052374,DEFA8P
chr8,8333810,8701937,0.016424,CLDN23
chr8,8346261,6563409,0.015468,ANGPT2
chr8,8346261,6951599,0.026437,DEFA8P
chr8,8346261,7355359,0.030791,FAM66B
chr8,8346261,8701937,0.0405,CLDN23
chr8,8346261,8893630,0.034191,MFHAS1
chr8,8346261,9002147,0.029984,ERI1
chr8,8346261,9151574,0.019244,PPP1R3B
chr8,8670808,8701937,0.016534,CLDN23
chr8,8698599,8701937,0.025901,CLDN23
chr8,8797622,8701937,0.017752,CLDN23
chr8,8797622,8893630,0.026915,MFHAS1
chr8,8892472,8893630,0.029467,MFHAS1
chr8,8917833,8893630,0.025647,MFHAS1
chr8,8919992,8701937,0.026512,CLDN23
chr8,8919992,8893630,0.088951,MFHAS1
chr8,8919992,9002147,0.030414,ERI1
chr8,8919992,9151574,0.019151,PPP1R3B
chr8,8995253,9002147,0.018483,ERI1
chr8,9002933,8701937,0.023235,CLDN23
chr8,9002933,8893630,0.031395,MFHAS1
chr8,9002933,9151574,0.027241,PPP1R3B
chr8,9006777,9002147,0.03568,ERI1
chr8,9012072,9002147,0.067732,ERI1
chr8,9066007,9151574,0.026546,PPP1R3B
