chr,center,TSS,score,gene
chr17,178811,181650,0.044184,DOC2B
chr17,182600,181650,0.029781,DOC2B
chr17,199400,181650,0.018894,DOC2B
chr17,267303,181650,0.020913,DOC2B
chr17,279508,181650,0.024089,DOC2B
chr17,279508,386254,0.017344,RPH3AL
chr17,332909,181650,0.021765,DOC2B
chr17,332909,386254,0.032364,RPH3AL
chr17,334163,181650,0.064886,DOC2B
chr17,334163,386254,0.096451,RPH3AL
chr17,334163,410325,0.034663,C17orf97
chr17,334163,721717,0.029705,VPS53
chr17,334163,753999,0.029588,GEMIN4
chr17,334163,752660,0.029588,DBIL5P
chr17,334163,782353,0.021783,MRM3
chr17,334163,782294,0.021783,GLOD4
chr17,334163,979776,0.020075,NXN
chr17,339102,181650,0.022136,DOC2B
chr17,339102,386254,0.034163,RPH3AL
chr17,348787,386254,0.028037,RPH3AL
chr17,349808,386254,0.030235,RPH3AL
chr17,350875,386254,0.105107,RPH3AL
chr17,353009,181650,0.020825,DOC2B
chr17,353009,410325,0.015059,C17orf97
chr17,357621,386254,0.015711,RPH3AL
chr17,382928,181650,0.026972,DOC2B
chr17,382928,386254,0.023132,RPH3AL
chr17,382928,410325,0.021946,C17orf97
chr17,410194,181650,0.020929,DOC2B
chr17,410194,386254,0.016024,RPH3AL
chr17,410194,721717,0.02394,VPS53
chr17,410194,753999,0.016019,GEMIN4
chr17,410194,752660,0.016019,DBIL5P
chr17,414023,410325,0.020197,C17orf97
chr17,560408,181650,0.018099,DOC2B
chr17,560408,410325,0.034436,C17orf97
chr17,560408,721717,0.026972,VPS53
chr17,560408,782353,0.018433,MRM3
chr17,560408,782294,0.018433,GLOD4
chr17,714949,410325,0.018089,C17orf97
chr17,714949,753999,0.025266,GEMIN4
chr17,714949,752660,0.025266,DBIL5P
chr17,714949,979776,0.017092,NXN
chr17,752863,753999,0.05046,GEMIN4
chr17,752863,752660,0.05046,DBIL5P
chr17,782298,753999,0.022575,GEMIN4
chr17,782298,752660,0.022575,DBIL5P
chr17,782298,979776,0.022917,NXN
chr17,790746,782353,0.016505,MRM3
chr17,790746,782294,0.016505,GLOD4
chr17,880612,979776,0.016565,NXN
chr17,979866,782353,0.017427,MRM3
chr17,979866,782294,0.017427,GLOD4
chr17,981216,979776,0.018669,NXN
chr17,996890,410325,0.024195,C17orf97
chr17,996890,721717,0.029443,VPS53
chr17,996890,753999,0.033141,GEMIN4
chr17,996890,752660,0.03314,DBIL5P
chr17,996890,782353,0.035173,MRM3
chr17,996890,782294,0.035173,GLOD4
chr17,996890,979776,0.050609,NXN
chr17,1004241,721717,0.015325,VPS53
chr17,1004241,753999,0.015389,GEMIN4
chr17,1004241,752660,0.015389,DBIL5P
chr17,1004241,979776,0.019647,NXN
chr17,1004241,997129,0.114829,TIMM22
chr17,1005587,997129,0.046838,TIMM22
chr17,1399806,1463162,0.059747,CRK
chr17,1399806,1492686,0.04985,MYO1C
chr17,1399806,1516742,0.032183,INPP5K
chr17,1399806,1516877,0.032183,PITPNA-AS1
chr17,1399806,1562792,0.021627,PITPNA
chr17,1399806,1628886,0.018719,SLC43A2
chr17,1399806,1649866,0.015782,RILP
chr17,1405006,1400222,0.01705,YWHAE
chr17,1447198,1463162,0.015486,CRK
chr17,1455437,1463162,0.027191,CRK
chr17,1456173,1400222,0.023136,YWHAE
chr17,1456173,1492686,0.032105,MYO1C
chr17,1456173,1516742,0.018734,INPP5K
chr17,1456173,1516877,0.018734,PITPNA-AS1
chr17,1488257,1492686,0.043712,MYO1C
chr17,1515786,1492686,0.015472,MYO1C
chr17,1515786,1516742,0.026078,INPP5K
chr17,1515786,1516877,0.026078,PITPNA-AS1
chr17,1516840,1400222,0.015685,YWHAE
chr17,1516840,1463162,0.023578,CRK
chr17,1516840,1492686,0.035337,MYO1C
chr17,1516840,1562792,0.026577,PITPNA
chr17,1516840,1628886,0.0183,SLC43A2
chr17,1618083,1562792,0.017519,PITPNA
chr17,1618083,1628886,0.040123,SLC43A2
chr17,1618083,1645744,0.016279,SCARF1
chr17,1628682,1562792,0.019392,PITPNA
chr17,1628682,1645744,0.024961,SCARF1
chr17,1628682,1649866,0.016438,RILP
chr17,1645789,1649866,0.01916,RILP
chr17,1649558,1400222,0.016499,YWHAE
chr17,1649558,1463162,0.017664,CRK
chr17,1649558,1492686,0.020126,MYO1C
chr17,1649558,1516742,0.020152,INPP5K
chr17,1649558,1516877,0.020152,PITPNA-AS1
