chr,center,TSS,score,gene
chr17,410589,191587,0.073709,LINC02091
chr17,410589,721717,0.079107,VPS53
chr17,410589,753999,0.048382,GEMIN4
chr17,410589,752660,0.048381,DBIL5P
chr17,410589,782353,0.034563,MRM3
chr17,410589,782294,0.034563,GLOD4
chr17,410589,979776,0.0418,NXN
chr17,410589,997129,0.039873,TIMM22
chr17,412413,410325,0.041726,C17orf97
chr17,414023,410325,0.025754,C17orf97
chr17,416788,191587,0.017079,LINC02091
chr17,416788,410325,0.082795,C17orf97
chr17,416788,721717,0.01907,VPS53
chr17,418506,410325,0.023567,C17orf97
chr17,419550,410325,0.032999,C17orf97
chr17,715096,410325,0.015272,C17orf97
chr17,715096,753999,0.026754,GEMIN4
chr17,715096,752660,0.026754,DBIL5P
chr17,715096,979776,0.018077,NXN
chr17,733135,721717,0.016556,VPS53
chr17,752136,721717,0.033956,VPS53
chr17,752136,782353,0.030336,MRM3
chr17,752136,782294,0.030336,GLOD4
chr17,752136,979776,0.018054,NXN
chr17,752136,997129,0.016783,TIMM22
chr17,753743,753999,0.020726,GEMIN4
chr17,753743,752660,0.020726,DBIL5P
chr17,782016,191587,0.018121,LINC02091
chr17,782016,721717,0.030466,VPS53
chr17,782016,753999,0.052071,GEMIN4
chr17,782016,752660,0.05207,DBIL5P
chr17,782016,979776,0.052796,NXN
chr17,782016,997129,0.028787,TIMM22
chr17,981121,979776,0.053277,NXN
chr17,996849,191587,0.022196,LINC02091
chr17,996849,410325,0.019693,C17orf97
chr17,996849,721717,0.032417,VPS53
chr17,996849,753999,0.033832,GEMIN4
chr17,996849,752660,0.033832,DBIL5P
chr17,996849,782353,0.033805,MRM3
chr17,996849,782294,0.033805,GLOD4
chr17,996849,979776,0.051601,NXN
chr17,999277,997129,0.035033,TIMM22
chr17,1392251,1400222,0.015677,YWHAE
chr17,1399610,1463162,0.043909,CRK
chr17,1399610,1492686,0.030744,MYO1C
chr17,1399610,1516742,0.022798,INPP5K
chr17,1399610,1516877,0.022798,PITPNA-AS1
chr17,1399610,1562792,0.016476,PITPNA
chr17,1399610,1628886,0.01599,SLC43A2
chr17,1399610,1649866,0.016373,RILP
chr17,1455409,1463162,0.038911,CRK
chr17,1456213,1400222,0.021792,YWHAE
chr17,1456213,1492686,0.024049,MYO1C
chr17,1456213,1516742,0.016119,INPP5K
chr17,1456213,1516877,0.016119,PITPNA-AS1
chr17,1484919,1492686,0.033352,MYO1C
chr17,1485967,1463162,0.017489,CRK
chr17,1485967,1492686,0.052513,MYO1C
chr17,1487161,1463162,0.016816,CRK
chr17,1487161,1492686,0.063663,MYO1C
chr17,1488279,1463162,0.015589,CRK
chr17,1488279,1492686,0.059008,MYO1C
chr17,1515716,1463162,0.016263,CRK
chr17,1515716,1492686,0.026695,MYO1C
chr17,1515716,1516742,0.051684,INPP5K
chr17,1515716,1516877,0.051684,PITPNA-AS1
chr17,1516743,1400222,0.018491,YWHAE
chr17,1516743,1463162,0.026343,CRK
chr17,1516743,1492686,0.033131,MYO1C
chr17,1516743,1562792,0.030781,PITPNA
chr17,1516743,1628886,0.023764,SLC43A2
chr17,1562444,1628886,0.016296,SLC43A2
chr17,1566809,1562792,0.055453,PITPNA
chr17,1627546,1628886,0.017001,SLC43A2
chr17,1628655,1562792,0.016889,PITPNA
chr17,1628655,1645744,0.028029,SCARF1
chr17,1628655,1649866,0.019496,RILP
chr17,1630163,1628886,0.018217,SLC43A2
chr17,1643253,1645744,0.017958,SCARF1
chr17,1643253,1649866,0.017672,RILP
chr17,1649564,1562792,0.015337,PITPNA
chr17,1649564,1628886,0.025226,SLC43A2
chr17,1649564,1645744,0.119609,SCARF1
chr17,1649564,1684867,0.017729,PRPF8
chr17,1669691,1684867,0.017999,PRPF8
chr17,1684762,1562792,0.016053,PITPNA
chr17,1684762,1628886,0.021943,SLC43A2
chr17,1684762,1645744,0.02554,SCARF1
chr17,1684762,1649866,0.034119,RILP
chr17,1684762,1710377,0.061175,TLCD2
chr17,1684762,1717174,0.047451,MIR22HG
chr17,1684762,1716523,0.047453,WDR81
chr17,1684762,1762029,0.025186,SERPINF1
chr17,1684762,1830634,0.021545,SMYD4
chr17,1684762,1829702,0.021545,RPA1
chr17,1684762,2030137,0.015166,DPH1
chr17,1710483,1717174,0.016194,MIR22HG
chr17,1710483,1716523,0.016197,WDR81
chr17,1711253,1710377,0.017249,TLCD2
chr17,1715431,1710377,0.020203,TLCD2
chr17,1715431,1717174,0.019447,MIR22HG
chr17,1715431,1716523,0.019447,WDR81
chr17,1716420,1562792,0.01725,PITPNA
chr17,1716420,1628886,0.016782,SLC43A2
chr17,1716420,1645744,0.02018,SCARF1
chr17,1716420,1649866,0.025986,RILP
chr17,1716420,1684867,0.050505,PRPF8
chr17,1716420,1710377,0.134964,TLCD2
chr17,1716420,1762029,0.035353,SERPINF1
chr17,1716420,1830634,0.019358,SMYD4
chr17,1716420,1829702,0.019358,RPA1
chr17,1717417,1645744,0.018069,SCARF1
chr17,1717417,1649866,0.017984,RILP
chr17,1717417,1684867,0.02792,PRPF8
chr17,1717417,1710377,0.041081,TLCD2
chr17,1717417,1717174,0.069112,MIR22HG
chr17,1717417,1716523,0.069111,WDR81
chr17,1717417,1762029,0.035736,SERPINF1
chr17,1717417,1830634,0.023506,SMYD4
chr17,1717417,1829702,0.023506,RPA1
chr17,1717417,2030137,0.015848,DPH1
chr17,1723144,1717174,0.019498,MIR22HG
chr17,1723144,1716523,0.019494,WDR81
chr17,1723144,1762029,0.017945,SERPINF1
chr17,1725113,1684867,0.016862,PRPF8
chr17,1725113,1710377,0.023667,TLCD2
chr17,1725113,1717174,0.034829,MIR22HG
chr17,1725113,1716523,0.034824,WDR81
chr17,1725113,1762029,0.03201,SERPINF1
chr17,1725113,1830634,0.02045,SMYD4
chr17,1725113,1829702,0.020449,RPA1
chr17,1763064,1762029,0.03198,SERPINF1
chr17,1764433,1762029,0.048124,SERPINF1
chr17,1769719,1762029,0.021756,SERPINF1
chr17,1770249,1762029,0.020579,SERPINF1
chr17,1823709,1684867,0.015806,PRPF8
chr17,1823709,1710377,0.017382,TLCD2
chr17,1823709,1717174,0.015118,MIR22HG
chr17,1823709,1716523,0.015118,WDR81
chr17,1823709,1762029,0.023231,SERPINF1
chr17,1823709,1830634,0.137858,SMYD4
chr17,1823709,1829702,0.137866,RPA1
chr17,2030350,2042022,0.019471,OVCA2
chr17,2041929,2030137,0.047879,DPH1
chr17,2041929,2054154,0.044306,HIC1
chr17,2041929,2303785,0.018314,SMG6
chr17,2041929,2303383,0.018314,SRR
chr17,2050041,2030137,0.021219,DPH1
chr17,2050041,2042022,0.088561,OVCA2
chr17,2050041,2054154,0.061151,HIC1
chr17,2054482,2030137,0.029738,DPH1
chr17,2054482,2042022,0.043536,OVCA2
chr17,2054482,2303785,0.016644,SMG6
chr17,2054482,2303383,0.016644,SRR
chr17,2056820,2054154,0.015454,HIC1
chr17,2216010,2054154,0.023519,HIC1
chr17,2260110,2042022,0.016654,OVCA2
chr17,2260110,2054154,0.023236,HIC1
chr17,2260110,2303785,0.02158,SMG6
chr17,2260110,2303383,0.021581,SRR
chr17,2266552,1762029,0.016952,SERPINF1
