chr,center,TSS,score,gene
chr22,17065582,17084954,0.020515,IL17RA
chr22,17065582,17121530,0.015046,LINC01664
chr22,17085021,17121530,0.037983,LINC01664
chr22,17085021,17159351,0.028788,HDHD5-AS1
chr22,17085586,17084954,0.064688,IL17RA
chr22,17159277,17084954,0.053341,IL17RA
chr22,17159277,17121530,0.069831,LINC01664
chr22,17159277,17563450,0.020641,SLC25A18
chr22,17171760,17084954,0.082515,IL17RA
chr22,17171760,17121530,0.096864,LINC01664
chr22,17171760,17159351,0.192093,HDHD5-AS1
chr22,17171760,17563450,0.035078,SLC25A18
chr22,17171760,17628749,0.019531,ATP6V1E1
chr22,17171760,17774770,0.020409,BID
chr22,17171760,17777322,0.022163,LINC00528
chr22,17171760,18077923,0.015553,PEX26
chr22,17171760,18110100,0.017087,TUBA8
chr22,17171760,18150118,0.019684,USP18
chr22,17564033,17563450,0.026454,SLC25A18
chr22,17569937,17563450,0.018545,SLC25A18
chr22,17570913,17121530,0.016897,LINC01664
chr22,17570913,17563450,0.092171,SLC25A18
chr22,17570913,17628749,0.024366,ATP6V1E1
chr22,17570913,17628855,0.017304,BCL2L13
chr22,17570913,17774770,0.016743,BID
chr22,17570913,17777322,0.017995,LINC00528
chr22,17578549,17563450,0.01957,SLC25A18
chr22,17628778,17563450,0.027463,SLC25A18
chr22,17628778,17628855,0.08412,BCL2L13
chr22,17628778,17774770,0.022071,BID
chr22,17628778,17777322,0.019614,LINC00528
chr22,17633456,17628749,0.08949,ATP6V1E1
chr22,17633456,17628855,0.059232,BCL2L13
chr22,17638731,17084954,0.032376,IL17RA
chr22,17638731,17121530,0.029185,LINC01664
chr22,17638731,17159351,0.039068,HDHD5-AS1
chr22,17638731,17563450,0.063915,SLC25A18
chr22,17638731,17628749,0.200723,ATP6V1E1
chr22,17638731,17774770,0.044478,BID
chr22,17638731,17777322,0.043979,LINC00528
chr22,17638731,18077923,0.027123,PEX26
chr22,17638731,18110100,0.026005,TUBA8
