chr,center,TSS,score,gene
chr7,149553,520296,0.032365,PDGFA
chr7,149553,726699,0.026134,DNAAF5
chr7,149553,816615,0.015015,SUN1
chr7,518040,520296,0.04092,PDGFA
chr7,749219,726699,0.019375,DNAAF5
chr7,768611,520296,0.022394,PDGFA
chr7,768611,726699,0.04363,DNAAF5
chr7,768611,816615,0.021888,SUN1
chr7,771371,520296,0.015764,PDGFA
chr7,771371,726699,0.015742,DNAAF5
chr7,813280,520296,0.016837,PDGFA
chr7,813280,726699,0.019069,DNAAF5
chr7,813280,816615,0.132839,SUN1
chr7,813280,876554,0.021826,GET4
chr7,816167,876554,0.016926,GET4
chr7,832037,816615,0.024478,SUN1
chr7,842615,816615,0.036572,SUN1
chr7,842615,876554,0.024552,GET4
chr7,867404,816615,0.01799,SUN1
chr7,867404,876554,0.025593,GET4
chr7,873460,876554,0.030333,GET4
chr7,876653,726699,0.015843,DNAAF5
chr7,876653,816615,0.025939,SUN1
chr7,883563,876554,0.023759,GET4
chr7,977820,975549,0.110544,COX19
chr7,983198,975549,0.021594,COX19
chr7,993256,975549,0.026823,COX19
chr7,993256,1044546,0.015804,GPR146
chr7,993256,1082208,0.015982,GPER1
chr7,1028268,520296,0.016803,PDGFA
chr7,1028268,726699,0.016899,DNAAF5
chr7,1028268,816615,0.015884,SUN1
chr7,1028268,876554,0.017187,GET4
chr7,1028268,975549,0.050164,COX19
chr7,1028268,1044546,0.075159,GPR146
chr7,1028268,1082208,0.055923,GPER1
chr7,1028268,1138260,0.038318,C7orf50
chr7,1028268,1160759,0.038748,ZFAND2A
chr7,1028268,1459470,0.016471,MICALL2
chr7,1028268,1504389,0.01647,INTS1
chr7,1044343,876554,0.017708,GET4
chr7,1044343,975549,0.043556,COX19
chr7,1044343,1044546,0.11931,GPR146
chr7,1044343,1082208,0.046718,GPER1
chr7,1044343,1138260,0.031998,C7orf50
chr7,1044343,1160759,0.030569,ZFAND2A
chr7,1044343,1459470,0.015311,MICALL2
chr7,1052164,1044546,0.060233,GPR146
chr7,1059388,1044546,0.046432,GPR146
chr7,1076750,1082208,0.015864,GPER1
chr7,1088064,1082208,0.033437,GPER1
chr7,1095941,1082208,0.018629,GPER1
chr7,1124080,1082208,0.028299,GPER1
chr7,1124080,1138260,0.045489,C7orf50
chr7,1124080,1160759,0.025366,ZFAND2A
chr7,1138050,1082208,0.02453,GPER1
chr7,1138050,1160759,0.037185,ZFAND2A
chr7,1160355,975549,0.015012,COX19
chr7,1160355,1082208,0.022958,GPER1
chr7,1160355,1138260,0.043613,C7orf50
chr7,1447905,1459470,0.018384,MICALL2
chr7,1459901,1504389,0.032017,INTS1
chr7,1459901,1571005,0.015427,PSMG3
chr7,1459901,1570073,0.015427,PSMG3-AS1
chr7,1537622,1459470,0.04037,MICALL2
chr7,1537622,1504389,0.078646,INTS1
chr7,1537622,1571005,0.075737,PSMG3
chr7,1537622,1570073,0.075737,PSMG3-AS1
chr7,1537622,2354318,0.015927,SNX8
chr7,1562439,1571005,0.029328,PSMG3
chr7,1562439,1570073,0.029329,PSMG3-AS1
chr7,1570625,1504389,0.02593,INTS1
chr7,1570625,2233243,0.015187,MAD1L1
chr7,1669698,1571005,0.015525,PSMG3
chr7,1669698,1570073,0.015524,PSMG3-AS1
chr7,1669698,2354086,0.015414,EIF3B
chr7,2108582,1571005,0.015913,PSMG3
chr7,2108582,1570073,0.015913,PSMG3-AS1
chr7,2108582,2233243,0.019366,MAD1L1
chr7,2108582,2242205,0.020372,MRM2
chr7,2108582,2242226,0.020372,NUDT1
chr7,2108582,2354318,0.01838,SNX8
chr7,2157994,2233243,0.022883,MAD1L1
chr7,2157994,2242205,0.019277,MRM2
chr7,2157994,2242226,0.019277,NUDT1
chr7,2157994,2354318,0.023844,SNX8
chr7,2157994,2354086,0.017133,EIF3B
chr7,2232882,2242205,0.043705,MRM2
chr7,2232882,2242226,0.043706,NUDT1
chr7,2232882,2354318,0.015778,SNX8
chr7,2234211,2233243,0.02943,MAD1L1
chr7,2242235,2233243,0.017686,MAD1L1
chr7,2249201,2242205,0.040714,MRM2
chr7,2249201,2242226,0.040713,NUDT1
chr7,2348122,2354086,0.019054,EIF3B
chr7,2354274,1082208,0.015254,GPER1
chr7,2354274,1459470,0.017197,MICALL2
chr7,2354274,1504389,0.018617,INTS1
chr7,2354274,1571005,0.022252,PSMG3
chr7,2354274,1570073,0.022252,PSMG3-AS1
chr7,2354274,2233243,0.055494,MAD1L1
chr7,2354274,2242205,0.05317,MRM2
chr7,2354274,2242226,0.05317,NUDT1
chr7,2354274,2354318,0.074312,SNX8
chr7,2354274,2403588,0.041014,CHST12
chr7,2354274,2512529,0.02059,LFNG
chr7,2354274,2555694,0.01502,BRAT1
chr7,2354274,2558972,0.015021,IQCE
chr7,2400058,2242205,0.015348,MRM2
