chr,center,TSS,score,gene
chr20,290683,297570,0.202071,ZCCHC3
chr20,290683,348490,0.083048,NRSN2-AS1
chr20,290683,325552,0.083048,SOX12
chr20,290683,346782,0.048054,NRSN2
chr20,290683,362835,0.032199,TRIB3
chr20,290683,407498,0.02312,RBCK1
chr20,290683,462566,0.025993,TBC1D20
chr20,290683,653200,0.015436,SRXN1
chr20,297421,290778,0.170143,C20orf96
chr20,297421,348490,0.076333,NRSN2-AS1
chr20,297421,325552,0.076334,SOX12
chr20,297421,346782,0.044729,NRSN2
chr20,297421,362835,0.025571,TRIB3
chr20,297421,407498,0.018851,RBCK1
chr20,297421,462566,0.021098,TBC1D20
chr20,298305,290778,0.09059,C20orf96
chr20,298305,297570,0.088483,ZCCHC3
chr20,298305,348490,0.040612,NRSN2-AS1
chr20,298305,325552,0.040612,SOX12
chr20,298305,346782,0.023799,NRSN2
chr20,310619,290778,0.015213,C20orf96
chr20,310619,297570,0.020168,ZCCHC3
chr20,310619,348490,0.020772,NRSN2-AS1
chr20,310619,325552,0.020773,SOX12
chr20,325053,290778,0.094165,C20orf96
chr20,325053,297570,0.102774,ZCCHC3
chr20,325053,346782,0.118157,NRSN2
chr20,325053,362835,0.053184,TRIB3
chr20,325053,407498,0.044237,RBCK1
chr20,325053,462566,0.03618,TBC1D20
chr20,325053,653200,0.02347,SRXN1
chr20,325053,1113240,0.016852,PSMF1
chr20,327351,348490,0.023257,NRSN2-AS1
chr20,327351,325552,0.023257,SOX12
chr20,330823,348490,0.016736,NRSN2-AS1
chr20,330823,325552,0.016731,SOX12
chr20,348122,346782,0.037063,NRSN2
chr20,372057,362835,0.015302,TRIB3
chr20,382119,362835,0.020489,TRIB3
chr20,408028,290778,0.01586,C20orf96
chr20,408028,297570,0.015355,ZCCHC3
chr20,408028,348490,0.026762,NRSN2-AS1
chr20,408028,325552,0.02676,SOX12
chr20,408028,346782,0.041528,NRSN2
chr20,408028,362835,0.097151,TRIB3
chr20,408028,462566,0.053692,TBC1D20
chr20,408028,653200,0.019417,SRXN1
chr20,462574,346782,0.023287,NRSN2
chr20,462574,362835,0.028651,TRIB3
chr20,462574,407498,0.02956,RBCK1
chr20,529627,346782,0.019237,NRSN2
chr20,529627,362835,0.023203,TRIB3
chr20,529627,407498,0.019366,RBCK1
chr20,529627,462566,0.0311,TBC1D20
chr20,529627,543835,0.087089,CSNK2A1
chr20,529627,653200,0.025998,SRXN1
chr20,540077,543835,0.016074,CSNK2A1
chr20,543837,290778,0.025138,C20orf96
chr20,543837,297570,0.023302,ZCCHC3
chr20,543837,348490,0.028701,NRSN2-AS1
chr20,543837,325552,0.0287,SOX12
chr20,543837,346782,0.048709,NRSN2
chr20,543837,362835,0.052985,TRIB3
chr20,543837,407498,0.043984,RBCK1
chr20,543837,462566,0.06351,TBC1D20
chr20,543837,653200,0.088714,SRXN1
chr20,543837,833715,0.033296,FAM110A
chr20,543837,1113240,0.027406,PSMF1
chr20,543837,1226044,0.030691,RAD21L1
chr20,543837,1266280,0.022417,SNPH
chr20,543837,1329139,0.015728,SDCBP2
chr20,543837,1393164,0.018521,FKBP1A
chr20,653437,346782,0.019068,NRSN2
chr20,653437,362835,0.015807,TRIB3
chr20,653437,462566,0.015682,TBC1D20
chr20,653437,543835,0.020423,CSNK2A1
chr20,660698,653200,0.019334,SRXN1
chr20,826176,833715,0.021706,FAM110A
chr20,830358,833715,0.021131,FAM110A
chr20,833669,1113240,0.01564,PSMF1
chr20,1266388,1226044,0.016049,RAD21L1
chr20,1273511,1266280,0.041907,SNPH
chr20,1323008,1329139,0.017584,SDCBP2
chr20,1323008,1325400,0.016152,SDCBP2-AS1
chr20,1324735,1226044,0.016223,RAD21L1
chr20,1324735,1266280,0.017752,SNPH
chr20,1324735,1329139,0.040123,SDCBP2
chr20,1324735,1325400,0.083138,SDCBP2-AS1
chr20,1324735,1393164,0.028244,FKBP1A
chr20,1325581,290778,0.022029,C20orf96
chr20,1325581,297570,0.021243,ZCCHC3
chr20,1325581,348490,0.02557,NRSN2-AS1
chr20,1325581,325552,0.025574,SOX12
chr20,1325581,346782,0.031468,NRSN2
chr20,1325581,362835,0.032422,TRIB3
chr20,1325581,407498,0.02695,RBCK1
chr20,1325581,462566,0.031766,TBC1D20
chr20,1325581,543835,0.026758,CSNK2A1
chr20,1325581,653200,0.035227,SRXN1
chr20,1325581,833715,0.049567,FAM110A
chr20,1325581,1113240,0.055853,PSMF1
chr20,1325581,1226044,0.083573,RAD21L1
chr20,1325581,1266280,0.091452,SNPH
chr20,1325581,1329139,0.206754,SDCBP2
chr20,1325581,1393164,0.145488,FKBP1A
chr20,1325581,1894167,0.03272,SIRPA
chr20,1325581,2101827,0.025978,STK35
chr20,1325581,2296001,0.033826,TGM3
chr20,1325581,2470853,0.024428,SNRPB
chr20,1325581,2524702,0.021303,ZNF343
chr20,1325581,2652593,0.02507,NOP56
chr20,1325581,2664219,0.018897,IDH3B
chr20,1325581,2814987,0.017732,C20orf141
chr20,1325581,2840703,0.018152,VPS16
chr20,1325581,2841190,0.018152,PCED1A
chr20,1325581,3046052,0.016162,MRPS26
chr20,1325581,3159865,0.020629,FASTKD5
chr20,1325581,3160196,0.020628,UBOX5
chr20,1325581,3173549,0.015439,LZTS3
chr20,1327346,1325400,0.025415,SDCBP2-AS1
chr20,1371695,1393164,0.017592,FKBP1A
chr20,1382345,1393164,0.018299,FKBP1A
chr20,1393168,1329139,0.016752,SDCBP2
chr20,1448338,1266280,0.01714,SNPH
chr20,1448338,1329139,0.024348,SDCBP2
chr20,1448338,1393164,0.021621,FKBP1A
chr20,1449586,1329139,0.018746,SDCBP2
chr20,1470270,1113240,0.015515,PSMF1
chr20,1470270,1226044,0.016782,RAD21L1
chr20,1470270,1266280,0.018804,SNPH
chr20,1470270,1329139,0.025826,SDCBP2
chr20,1470270,1393164,0.022289,FKBP1A
chr20,1809320,1894167,0.03839,SIRPA
chr20,1809320,2101827,0.015707,STK35
chr20,1809320,2296001,0.015581,TGM3
chr20,1809943,1894167,0.024873,SIRPA
chr20,1811255,1894167,0.0242,SIRPA
chr20,1813248,1894167,0.026798,SIRPA
chr20,1816454,833715,0.016716,FAM110A
chr20,1816454,1113240,0.021651,PSMF1
chr20,1816454,1226044,0.024266,RAD21L1
chr20,1816454,1266280,0.020171,SNPH
chr20,1816454,1329139,0.019492,SDCBP2
chr20,1816454,1393164,0.015985,FKBP1A
chr20,1816454,1894167,0.049523,SIRPA
chr20,1816454,2101827,0.023707,STK35
chr20,1816454,2296001,0.025274,TGM3
chr20,1816454,2470853,0.01548,SNRPB
chr20,1825712,1894167,0.021606,SIRPA
chr20,1830424,1894167,0.037447,SIRPA
chr20,1860666,1894167,0.02063,SIRPA
chr20,1861762,1894167,0.025271,SIRPA
chr20,2102300,653200,0.019787,SRXN1
chr20,2102300,833715,0.025268,FAM110A
chr20,2102300,1113240,0.028404,PSMF1
chr20,2102300,1226044,0.022937,RAD21L1
chr20,2102300,1266280,0.028978,SNPH
chr20,2102300,1329139,0.021427,SDCBP2
chr20,2102300,1393164,0.018483,FKBP1A
chr20,2102300,1894167,0.045537,SIRPA
chr20,2102300,2296001,0.04424,TGM3
chr20,2102300,2470853,0.029683,SNRPB
chr20,2102300,2524702,0.026802,ZNF343
chr20,2102300,2652593,0.027279,NOP56
chr20,2102300,2664219,0.024617,IDH3B
chr20,2102300,2814987,0.019293,C20orf141
chr20,2102300,2840703,0.021016,VPS16
chr20,2102300,2841190,0.021016,PCED1A
chr20,2102300,3046052,0.017361,MRPS26
chr20,2102300,3159865,0.016213,FASTKD5
chr20,2102300,3160196,0.016213,UBOX5
chr20,2102300,3173549,0.018365,LZTS3
chr20,2102300,3204685,0.01672,DDRGK1
chr20,2102300,3208868,0.017856,ITPA
chr20,2237205,2296001,0.035305,TGM3
chr20,2292854,2296001,0.017582,TGM3
chr20,2301371,2296001,0.020336,TGM3
chr20,2470864,2296001,0.027957,TGM3
chr20,2470864,2524702,0.07846,ZNF343
chr20,2470864,2652593,0.037831,NOP56
chr20,2470864,2664219,0.032388,IDH3B
chr20,2470864,2814987,0.017346,C20orf141
chr20,2470864,2840703,0.015865,VPS16
chr20,2470864,2841190,0.015865,PCED1A
chr20,2470864,3046052,0.016328,MRPS26
chr20,2509059,2470853,0.044608,SNRPB
chr20,2509059,2652593,0.028659,NOP56
chr20,2509059,2664219,0.020931,IDH3B
chr20,2652466,2470853,0.017364,SNRPB
chr20,2652466,2524702,0.023136,ZNF343
chr20,2652466,2664219,0.072533,IDH3B
chr20,2664232,2296001,0.015811,TGM3
chr20,2664232,2470853,0.022707,SNRPB
chr20,2664232,2524702,0.025811,ZNF343
