chr,center,TSS,score,gene
chr18,11383,158383,0.033009,USP14
chr18,11383,268050,0.020637,THOC1
chr18,11383,596988,0.027855,CLUL1
chr18,11383,657653,0.024091,TYMS
chr18,11383,658350,0.02409,TYMSOS
chr18,11383,712662,0.01858,ENOSF1
chr18,109064,158383,0.056972,USP14
chr18,109064,268050,0.031431,THOC1
chr18,109064,596988,0.018867,CLUL1
chr18,158867,109065,0.190977,ROCK1P1
chr18,158867,268050,0.076122,THOC1
chr18,158867,596988,0.065333,CLUL1
chr18,158867,657653,0.035036,TYMS
chr18,158867,658350,0.035034,TYMSOS
chr18,158867,712662,0.041172,ENOSF1
chr18,158867,812546,0.039291,YES1
chr18,158867,904871,0.018761,ADCYAP1
chr18,158867,1408344,0.022405,LINC00470
chr18,158867,2655395,0.018154,CBX3P2
chr18,158867,2655726,0.018153,SMCHD1
chr18,250808,268050,0.022928,THOC1
chr18,268091,109065,0.037062,ROCK1P1
chr18,268091,158383,0.026779,USP14
chr18,268091,596988,0.044915,CLUL1
chr18,268091,657653,0.027753,TYMS
chr18,268091,658350,0.027752,TYMSOS
chr18,268091,712662,0.02771,ENOSF1
chr18,268091,812546,0.020354,YES1
chr18,362316,268050,0.015584,THOC1
chr18,399644,109065,0.033055,ROCK1P1
chr18,399644,158383,0.017315,USP14
chr18,399644,268050,0.034256,THOC1
chr18,399644,596988,0.045609,CLUL1
chr18,399644,657653,0.02395,TYMS
chr18,399644,658350,0.023949,TYMSOS
chr18,399644,712662,0.023301,ENOSF1
chr18,399644,812546,0.020439,YES1
chr18,399644,1408344,0.017221,LINC00470
chr18,657831,268050,0.026262,THOC1
chr18,657831,596988,0.042348,CLUL1
chr18,657831,712662,0.052388,ENOSF1
chr18,657831,812546,0.031414,YES1
chr18,712452,596988,0.019551,CLUL1
chr18,712452,657653,0.029449,TYMS
chr18,712452,658350,0.029446,TYMSOS
chr18,712452,812546,0.027993,YES1
chr18,812307,268050,0.019994,THOC1
chr18,812307,596988,0.026402,CLUL1
chr18,812307,657653,0.03261,TYMS
chr18,812307,658350,0.032608,TYMSOS
chr18,812307,712662,0.051693,ENOSF1
chr18,830811,712662,0.015233,ENOSF1
chr18,830811,812546,0.0191,YES1
chr18,839581,812546,0.015718,YES1
chr18,895509,904871,0.015518,ADCYAP1
chr18,903822,904871,0.020832,ADCYAP1
chr18,907282,596988,0.015442,CLUL1
chr18,907282,712662,0.015219,ENOSF1
chr18,907282,812546,0.015435,YES1
chr18,907282,904871,0.157204,ADCYAP1
chr18,907282,1408344,0.01949,LINC00470
chr18,909279,904871,0.123471,ADCYAP1
chr18,909279,1408344,0.015308,LINC00470
chr18,911643,904871,0.016218,ADCYAP1
chr18,985703,158383,0.019056,USP14
chr18,985703,268050,0.031767,THOC1
chr18,985703,596988,0.035717,CLUL1
chr18,985703,657653,0.028687,TYMS
chr18,985703,658350,0.028685,TYMSOS
chr18,985703,712662,0.029799,ENOSF1
chr18,985703,812546,0.040522,YES1
chr18,985703,904871,0.064765,ADCYAP1
chr18,985703,1408344,0.048858,LINC00470
chr18,985703,2571509,0.0154,METTL4
chr18,985703,2571557,0.0154,NDC80
chr18,985703,2655395,0.024702,CBX3P2
chr18,985703,2655726,0.024699,SMCHD1
chr18,1014613,904871,0.017941,ADCYAP1
chr18,1018247,158383,0.015787,USP14
chr18,1018247,268050,0.020961,THOC1
chr18,1018247,596988,0.02839,CLUL1
chr18,1018247,657653,0.020593,TYMS
chr18,1018247,658350,0.020593,TYMSOS
chr18,1018247,712662,0.029574,ENOSF1
chr18,1018247,812546,0.02896,YES1
chr18,1018247,904871,0.05004,ADCYAP1
chr18,1018247,1408344,0.070343,LINC00470
chr18,1360531,1408344,0.069951,LINC00470
chr18,1361935,1408344,0.071586,LINC00470
chr18,2571379,268050,0.016509,THOC1
chr18,2571379,596988,0.018839,CLUL1
chr18,2571379,657653,0.019744,TYMS
chr18,2571379,658350,0.019747,TYMSOS
chr18,2571379,712662,0.025038,ENOSF1
chr18,2571379,812546,0.021037,YES1
chr18,2571379,904871,0.019819,ADCYAP1
chr18,2571379,1408344,0.024549,LINC00470
chr18,2571379,2655395,0.075788,CBX3P2
chr18,2571379,2655726,0.07579,SMCHD1
chr18,2571379,3013144,0.021382,LPIN2
chr18,2571379,3219968,0.027317,MYOM1
chr18,2571379,3247481,0.019569,MYL12A
chr18,2571379,3261479,0.01822,MYL12B
chr18,2655907,2571509,0.036027,METTL4
chr18,2655907,2571557,0.036027,NDC80
chr18,2655907,3013144,0.015739,LPIN2
chr18,2655907,3219968,0.015947,MYOM1
chr18,2655907,3247481,0.01529,MYL12A
chr18,3012967,2655395,0.021965,CBX3P2
chr18,3012967,2655726,0.021965,SMCHD1
chr18,3012967,3013144,0.281842,LPIN2
chr18,3012967,3219968,0.030817,MYOM1
chr18,3012967,3247481,0.033436,MYL12A
chr18,3012967,3261479,0.024154,MYL12B
chr18,3012967,3603000,0.01971,DLGAP1-AS2
chr18,3048216,3013144,0.018505,LPIN2
