chr,center,TSS,score,gene
chr22,17084775,17159351,0.026708,HDHD5-AS1
chr22,17085746,17084954,0.061521,IL17RA
chr22,17086526,17084954,0.031681,IL17RA
chr22,17087887,17084954,0.066799,IL17RA
chr22,17098518,17084954,0.01544,IL17RA
chr22,17158640,17159351,0.038526,HDHD5-AS1
chr22,17159615,17084954,0.021738,IL17RA
chr22,17171714,17084954,0.022231,IL17RA
chr22,17171714,17159351,0.062778,HDHD5-AS1
chr22,17171714,17258235,0.018454,ADA2
chr22,17171714,17266733,0.016418,CECR3
chr22,17214345,17258235,0.029039,ADA2
chr22,17215798,17258235,0.035609,ADA2
chr22,17217120,17159351,0.017222,HDHD5-AS1
chr22,17217120,17258235,0.1218,ADA2
chr22,17217120,17266733,0.022856,CECR3
chr22,17219422,17159351,0.019856,HDHD5-AS1
chr22,17219422,17266733,0.032874,CECR3
chr22,17228967,17258235,0.040028,ADA2
chr22,17237104,17258235,0.028226,ADA2
chr22,17237104,17266733,0.024966,CECR3
chr22,17243663,17258235,0.02439,ADA2
chr22,17243663,17266733,0.02273,CECR3
chr22,17257527,17266733,0.023461,CECR3
chr22,17258200,17258235,0.024602,ADA2
chr22,17258200,17266733,0.065337,CECR3
chr22,17268614,17266733,0.021161,CECR3
chr22,17280975,17266733,0.025254,CECR3
chr22,17303978,17266733,0.030803,CECR3
chr22,17595119,17159351,0.017933,HDHD5-AS1
chr22,17595119,17628749,0.036569,ATP6V1E1
chr22,17595119,17628855,0.028982,BCL2L13
chr22,17595119,17774770,0.016738,BID
chr22,17595119,17777322,0.016192,LINC00528
chr22,17628825,17628855,0.074381,BCL2L13
chr22,17638956,17084954,0.032027,IL17RA
chr22,17638956,17159351,0.04688,HDHD5-AS1
chr22,17638956,17258235,0.022974,ADA2
chr22,17638956,17266733,0.030279,CECR3
chr22,17638956,17628749,0.223846,ATP6V1E1
chr22,17638956,17774770,0.030371,BID
chr22,17638956,17777322,0.029362,LINC00528
chr22,17638956,18024561,0.022329,MICAL3
chr22,17638956,18029385,0.02245,LINC01634
chr22,17638956,18077923,0.024983,PEX26
chr22,17638956,18110100,0.025234,TUBA8
chr22,17638956,18150118,0.025249,USP18
chr22,17638956,18906028,0.020862,DGCR6
chr22,17638956,19122454,0.015104,DGCR2
chr22,17638956,19171395,0.015266,LINC01311
chr22,17638956,19178739,0.015394,SLC25A1
chr22,17706545,17628855,0.016919,BCL2L13
chr22,17767530,17774770,0.015901,BID
chr22,17771794,17774770,0.051281,BID
chr22,17771794,17777322,0.027172,LINC00528
chr22,17773876,17774770,0.04806,BID
chr22,17773876,17777322,0.04345,LINC00528
chr22,17774540,17777322,0.055207,LINC00528
chr22,17777438,17774770,0.094063,BID
chr22,17777438,18077923,0.015896,PEX26
chr22,17777438,18110100,0.016885,TUBA8
chr22,17781536,17774770,0.052912,BID
chr22,17781536,17777322,0.061745,LINC00528
chr22,17785348,17774770,0.017069,BID
chr22,17785348,17777322,0.029134,LINC00528
chr22,17795930,17774770,0.025018,BID
chr22,17795930,17777322,0.032608,LINC00528
chr22,17798485,17774770,0.025671,BID
chr22,17798485,17777322,0.027126,LINC00528
chr22,17800564,17774770,0.041358,BID
chr22,17800564,17777322,0.043705,LINC00528
chr22,17800564,18077923,0.016873,PEX26
chr22,17800564,18110100,0.016188,TUBA8
chr22,17800564,18150118,0.017169,USP18
chr22,17898464,18024561,0.018461,MICAL3
chr22,17920303,18024561,0.01533,MICAL3
chr22,17964812,18024561,0.025671,MICAL3
chr22,17964812,18029385,0.015023,LINC01634
chr22,17980877,18024561,0.017551,MICAL3
chr22,17994909,18024561,0.017864,MICAL3
chr22,17994909,18029385,0.016682,LINC01634
chr22,17996653,18024561,0.021852,MICAL3
chr22,17996653,18029385,0.0204,LINC01634
chr22,17996653,18110100,0.017573,TUBA8
chr22,18000579,18024561,0.020802,MICAL3
chr22,18000579,18029385,0.030884,LINC01634
chr22,18000579,18077923,0.021389,PEX26
chr22,18001511,17084954,0.015331,IL17RA
chr22,18001511,17774770,0.018189,BID
chr22,18001511,17777322,0.017595,LINC00528
chr22,18001511,18024561,0.038574,MICAL3
chr22,18001511,18029385,0.057258,LINC01634
chr22,18001511,18077923,0.039659,PEX26
chr22,18001511,18110100,0.023658,TUBA8
chr22,18001511,18150118,0.025818,USP18
chr22,18005483,17774770,0.015844,BID
chr22,18005483,17777322,0.015215,LINC00528
chr22,18005483,18024561,0.0366,MICAL3
chr22,18005483,18029385,0.057035,LINC01634
chr22,18005483,18077923,0.025288,PEX26
chr22,18005483,18110100,0.023808,TUBA8
chr22,18005483,18150118,0.017519,USP18
chr22,18011098,18029385,0.024793,LINC01634
chr22,18024152,18024561,0.020246,MICAL3
chr22,18024152,18029385,0.094942,LINC01634
chr22,18024152,18077923,0.016847,PEX26
chr22,18057390,17084954,0.020661,IL17RA
chr22,18057390,17159351,0.026483,HDHD5-AS1
chr22,18057390,17258235,0.016885,ADA2
chr22,18057390,17266733,0.025535,CECR3
chr22,18057390,17628749,0.025053,ATP6V1E1
chr22,18057390,17628855,0.020733,BCL2L13
chr22,18057390,17774770,0.034376,BID
chr22,18057390,17777322,0.035581,LINC00528
chr22,18057390,18024561,0.062663,MICAL3
chr22,18057390,18029385,0.095538,LINC01634
chr22,18057390,18077923,0.07978,PEX26
chr22,18057390,18110100,0.052445,TUBA8
chr22,18057390,18150118,0.041195,USP18
chr22,18057390,18906028,0.017754,DGCR6
chr22,18057390,19122454,0.01576,DGCR2
chr22,18057390,19291719,0.01514,CLTCL1
chr22,18066326,18024561,0.016659,MICAL3
chr22,18066326,18029385,0.020989,LINC01634
chr22,18066326,18077923,0.023741,PEX26
chr22,18076162,18077923,0.032527,PEX26
chr22,18077801,17777322,0.017208,LINC00528
chr22,18077801,18024561,0.023339,MICAL3
chr22,18077801,18029385,0.023792,LINC01634
chr22,18077801,18110100,0.045329,TUBA8
chr22,18077801,18150118,0.030591,USP18
chr22,18104110,18110100,0.017396,TUBA8
chr22,18104781,18110100,0.017756,TUBA8
chr22,18150024,18110100,0.017088,TUBA8
chr22,18903528,18906028,0.017512,DGCR6
chr22,19109661,19122454,0.088107,DGCR2
chr22,19109661,19171395,0.017007,LINC01311
chr22,19121719,19122454,0.060912,DGCR2
chr22,19122583,19171395,0.019013,LINC01311
chr22,19144639,19122454,0.035597,DGCR2
chr22,19144639,19171395,0.045668,LINC01311
chr22,19144639,19178739,0.027335,SLC25A1
chr22,19171631,19178739,0.024045,SLC25A1
chr22,19174250,19171395,0.072641,LINC01311
chr22,19174250,19178739,0.043902,SLC25A1
chr22,19178983,19122454,0.016906,DGCR2
chr22,19178983,19171395,0.040238,LINC01311
chr22,19178983,19291719,0.019532,CLTCL1
chr22,19290822,19291719,0.045193,CLTCL1
chr22,19361891,17266733,0.019481,CECR3
chr22,19361891,18024561,0.01561,MICAL3
chr22,19361891,18110100,0.016857,TUBA8
chr22,19361891,18150118,0.019133,USP18
chr22,19361891,18906028,0.023171,DGCR6
chr22,19361891,19122454,0.036805,DGCR2
chr22,19361891,19171395,0.04462,LINC01311
chr22,19361891,19178739,0.052456,SLC25A1
chr22,19361891,19291719,0.064858,CLTCL1
chr22,19361891,19447450,0.050083,HIRA
chr22,19361891,19432545,0.050084,MRPL40
chr22,19361891,19447711,0.034801,C22orf39
chr22,19361891,19479202,0.040049,UFD1
chr22,19361891,19479457,0.040049,CDC45
chr22,19361891,19756703,0.022642,TBX1
chr22,19361891,19854939,0.017702,GNB1L
chr22,19361891,19941371,0.0209,COMT
chr22,19361891,19941820,0.0209,TXNRD2
chr22,19361891,20016823,0.017366,ARVCF
chr22,19361891,20017014,0.016873,TANGO2
chr22,19361891,20080232,0.022635,DGCR8
chr22,19361891,20117392,0.017898,TRMT2A
