chr,center,TSS,score,gene
chr3,1087321,1092658,0.207639,CNTN6
chr3,1118274,1092658,0.019734,CNTN6
chr3,1183763,1092658,0.016347,CNTN6
chr3,3127049,1092658,0.019735,CNTN6
chr3,3127049,3179727,0.080204,CRBN
chr3,3127049,3799431,0.023047,LRRN1
chr3,3127049,4303332,0.022755,SETMAR
chr3,3179621,3126933,0.024531,TRNT1
chr3,3798736,3799431,0.061413,LRRN1
chr3,4303308,3179727,0.023465,CRBN
chr3,4467186,4493345,0.020761,ITPR1
chr3,4492334,4493345,0.01627,ITPR1
chr3,4493139,1092658,0.01793,CNTN6
chr3,4493139,3126933,0.016609,TRNT1
chr3,4493139,3179727,0.020698,CRBN
chr3,4493139,3799431,0.017646,LRRN1
chr3,4493139,4303332,0.022217,SETMAR
chr3,4493139,4467273,0.075346,SUMF1
chr3,4721607,4751590,0.01562,EGOT
chr3,4741654,3126933,0.018788,TRNT1
chr3,4741654,3179727,0.024163,CRBN
chr3,4741654,3799431,0.024783,LRRN1
chr3,4741654,4303332,0.023815,SETMAR
chr3,4741654,4467273,0.022039,SUMF1
chr3,4741654,4493345,0.024725,ITPR1
chr3,4741654,4751590,0.077566,EGOT
chr3,4741654,5122249,0.020246,ARL8B
chr3,4741654,5187646,0.018149,EDEM1
chr3,4744783,4751590,0.026021,EGOT
chr3,4750552,4751590,0.03918,EGOT
chr3,4751600,3179727,0.016791,CRBN
chr3,4751600,3799431,0.017517,LRRN1
chr3,4751600,4303332,0.017775,SETMAR
chr3,4751600,4467273,0.020941,SUMF1
chr3,4751600,4493345,0.015219,ITPR1
chr3,4752374,4751590,0.051326,EGOT
chr3,4831304,1092658,0.025516,CNTN6
chr3,4831304,3126933,0.029314,TRNT1
chr3,4831304,3179727,0.044163,CRBN
chr3,4831304,3799431,0.046444,LRRN1
chr3,4831304,4303332,0.03888,SETMAR
chr3,4831304,4467273,0.043308,SUMF1
chr3,4831304,4493345,0.033017,ITPR1
chr3,4831304,4751590,0.063214,EGOT
chr3,4831304,4979437,0.025327,BHLHE40
chr3,4831304,4980414,0.025329,BHLHE40-AS1
chr3,4831304,5122249,0.031449,ARL8B
chr3,4831304,5187646,0.02657,EDEM1
chr3,4831304,6805479,0.018282,GRM7-AS3
chr3,4831304,6770001,0.018333,GRM7
chr3,4978842,1092658,0.064361,CNTN6
chr3,4978842,3126933,0.085341,TRNT1
chr3,4978842,3179727,0.094422,CRBN
chr3,4978842,3799431,0.094727,LRRN1
chr3,4978842,4303332,0.108363,SETMAR
chr3,4978842,4467273,0.08987,SUMF1
chr3,4978842,4493345,0.115385,ITPR1
chr3,4978842,4751590,0.111053,EGOT
chr3,4978842,5122249,0.121282,ARL8B
chr3,4978842,5187646,0.105108,EDEM1
chr3,4978842,6805479,0.046825,GRM7-AS3
chr3,4978842,6770001,0.050787,GRM7
chr3,4978842,8611924,0.018237,LMCD1-AS1
chr3,4978842,8501807,0.018237,LMCD1
chr3,4978842,8769628,0.018316,OXTR
chr3,4978842,9362971,0.015166,THUMPD3
chr3,4978842,9649433,0.017725,MTMR14
chr3,4978842,9808086,0.017908,TTLL3
chr3,4980520,3179727,0.015833,CRBN
chr3,4980520,3799431,0.015876,LRRN1
chr3,4980520,4303332,0.018182,SETMAR
chr3,4980520,4467273,0.015079,SUMF1
chr3,4980520,4493345,0.01936,ITPR1
chr3,4980520,4751590,0.018634,EGOT
chr3,4980520,4979437,0.068319,BHLHE40
chr3,4980520,4980414,0.068324,BHLHE40-AS1
chr3,4980520,5122249,0.020349,ARL8B
chr3,4980520,5187646,0.017635,EDEM1
chr3,4984044,4493345,0.017232,ITPR1
chr3,4984044,4979437,0.058129,BHLHE40
chr3,4984044,4980414,0.058133,BHLHE40-AS1
chr3,4984044,5187646,0.015321,EDEM1
