chr,center,TSS,score,gene
chr21,14027338,14216130,0.025758,RBM11
chr21,14028850,14216130,0.021676,RBM11
chr21,14260439,14216130,0.0325,RBM11
chr21,14260439,14236206,0.060829,ABCC13
chr21,14267295,14216130,0.019779,RBM11
chr21,14267295,14236206,0.05246,ABCC13
chr21,14273849,14216130,0.025784,RBM11
chr21,14383247,14216130,0.074322,RBM11
chr21,14383247,14236206,0.083223,ABCC13
chr21,14383247,15065936,0.033416,NRIP1
chr21,14383247,15729982,0.03048,USP25
chr21,14383247,15928296,0.025663,MIR99AHG
chr21,14678720,14216130,0.021622,RBM11
chr21,14678720,14236206,0.015153,ABCC13
chr21,14763412,14216130,0.019811,RBM11
chr21,14763412,14236206,0.018953,ABCC13
chr21,14763412,14383484,0.016621,HSPA13
chr21,15050713,15065936,0.015568,NRIP1
chr21,15051494,14216130,0.022981,RBM11
chr21,15051494,14236206,0.019332,ABCC13
chr21,15051494,15065936,0.060946,NRIP1
chr21,15051494,15729982,0.018529,USP25
chr21,15051494,15928296,0.015028,MIR99AHG
chr21,15057359,15065936,0.01939,NRIP1
chr21,15059002,15065936,0.033016,NRIP1
chr21,15064913,14216130,0.06032,RBM11
chr21,15064913,14236206,0.052698,ABCC13
chr21,15064913,14383484,0.046437,HSPA13
chr21,15064913,15729982,0.048817,USP25
chr21,15064913,15928296,0.04741,MIR99AHG
chr21,15064913,17513043,0.023205,CXADR
chr21,15064913,17612945,0.017687,BTG3
chr21,15064913,17819386,0.015284,C21orf91
chr21,15730053,14216130,0.027462,RBM11
chr21,15730053,14236206,0.017089,ABCC13
chr21,15730053,14383484,0.016705,HSPA13
chr21,15730053,15065936,0.019252,NRIP1
chr21,15730053,15928296,0.025619,MIR99AHG
chr21,15754695,15729982,0.022172,USP25
chr21,15761997,15729982,0.036364,USP25
chr21,15837740,15729982,0.02026,USP25
chr21,16424487,15928296,0.025838,MIR99AHG
chr21,16534321,15928296,0.036298,MIR99AHG
chr21,16588312,15928296,0.042589,MIR99AHG
chr21,17462671,17513043,0.033319,CXADR
chr21,17472564,17513043,0.034965,CXADR
chr21,17511467,17513043,0.0404,CXADR
chr21,17512880,15928296,0.018367,MIR99AHG
chr21,17512880,17612945,0.018553,BTG3
chr21,17523157,17513043,0.065121,CXADR
chr21,17611867,14216130,0.035085,RBM11
chr21,17611867,14236206,0.019647,ABCC13
chr21,17611867,14383484,0.020391,HSPA13
chr21,17611867,15065936,0.017521,NRIP1
chr21,17611867,15729982,0.028076,USP25
chr21,17611867,15928296,0.059588,MIR99AHG
chr21,17611867,17513043,0.134471,CXADR
chr21,17611867,17612945,0.339343,BTG3
chr21,17611867,17819386,0.076711,C21orf91
chr21,17611867,20998409,0.041302,NCAM2
chr21,17612918,15729982,0.015002,USP25
chr21,17612918,15928296,0.022234,MIR99AHG
chr21,17612918,17513043,0.044557,CXADR
chr21,17612918,17819386,0.035136,C21orf91
chr21,17612918,20998409,0.019454,NCAM2
chr21,17793709,17819386,0.036126,C21orf91
chr21,17819459,15928296,0.027579,MIR99AHG
chr21,17819459,17513043,0.036471,CXADR
