chr,center,TSS,score,gene
chr15,22099469,22160868,0.019244,IGHV1OR15-1
chr15,22099469,22178542,0.02096,IGHV1OR15-3
chr15,22099469,22773063,0.015718,NIPA1
chr15,22099469,23565674,0.020324,MKRN3
chr15,22148289,22160868,0.020255,IGHV1OR15-1
chr15,22153960,22160868,0.024396,IGHV1OR15-1
chr15,22155489,22160868,0.0431,IGHV1OR15-1
chr15,22155489,22178542,0.015376,IGHV1OR15-3
chr15,22161102,22178542,0.075081,IGHV1OR15-3
chr15,22161102,22981063,0.019718,CYFIP1
chr15,22161102,22773063,0.015169,NIPA1
chr15,22161102,23565674,0.023319,MKRN3
chr15,22163802,22160868,0.19201,IGHV1OR15-1
chr15,22163802,22178542,0.045096,IGHV1OR15-3
chr15,22163802,23565674,0.015402,MKRN3
chr15,22172625,22178542,0.029157,IGHV1OR15-3
chr15,22173775,22160868,0.081642,IGHV1OR15-1
chr15,22173775,22178542,0.170756,IGHV1OR15-3
chr15,22173775,22981063,0.020495,CYFIP1
chr15,22173775,22773063,0.021293,NIPA1
chr15,22173775,23565674,0.027255,MKRN3
chr15,22178711,22160868,0.051867,IGHV1OR15-1
chr15,22178711,23565674,0.022605,MKRN3
chr15,22185126,22178542,0.035048,IGHV1OR15-3
chr15,22187122,22178542,0.029041,IGHV1OR15-3
chr15,22195199,22160868,0.037617,IGHV1OR15-1
chr15,22195199,22178542,0.072392,IGHV1OR15-3
chr15,22195199,22981063,0.018696,CYFIP1
chr15,22195199,23565674,0.022596,MKRN3
chr15,22221347,22160868,0.016633,IGHV1OR15-1
chr15,22221347,22178542,0.02807,IGHV1OR15-3
chr15,22838967,22981063,0.11686,CYFIP1
chr15,22838967,22773063,0.133895,NIPA1
chr15,22838967,23565674,0.044878,MKRN3
chr15,22838967,25439051,0.016961,UBE3A
chr15,22796936,22838644,0.024713,NIPA2
chr15,22796936,22773063,0.079061,NIPA1
chr15,22795264,22773063,0.017198,NIPA1
chr15,22787477,22981063,0.015564,CYFIP1
chr15,22787477,22838644,0.01644,NIPA2
chr15,22787477,22773063,0.157825,NIPA1
chr15,22786455,22981063,0.025259,CYFIP1
chr15,22786455,22838644,0.026682,NIPA2
chr15,24956394,22981063,0.016978,CYFIP1
chr15,24956394,23565674,0.037943,MKRN3
chr15,24956394,24954987,0.534186,SNURF
chr15,24956394,25439051,0.048715,UBE3A
chr15,24956394,25865184,0.019405,ATP10A
chr15,24956394,28099315,0.016525,OCA2
chr15,25438098,25439051,0.198725,UBE3A
chr15,25439029,23565674,0.017022,MKRN3
chr15,25439029,24954987,0.017565,SNURF
chr15,25811866,25865184,0.017235,ATP10A
chr15,25846573,25865184,0.041005,ATP10A
chr15,25847186,25865184,0.034173,ATP10A
chr15,25850576,22981063,0.016399,CYFIP1
chr15,25850576,23565674,0.060227,MKRN3
chr15,25850576,24954987,0.027345,SNURF
chr15,25850576,25439051,0.037762,UBE3A
chr15,25850576,25865184,0.184679,ATP10A
chr15,25850576,28099315,0.032752,OCA2
chr15,25860094,24954987,0.01622,SNURF
chr15,25860094,25439051,0.022532,UBE3A
chr15,25860094,25865184,0.206277,ATP10A
chr15,25860943,25439051,0.016507,UBE3A
chr15,25860943,25865184,0.151123,ATP10A
chr15,26082605,23565674,0.025999,MKRN3
chr15,26082605,24954987,0.019195,SNURF
chr15,26082605,25439051,0.026973,UBE3A
chr15,26082605,25865184,0.022048,ATP10A
chr15,26082605,28099315,0.018065,OCA2
chr15,28086437,28099315,0.028926,OCA2
chr15,28096185,28099315,0.12173,OCA2
chr15,28106613,28099315,0.019419,OCA2
chr15,28107431,28099315,0.021673,OCA2
chr15,28108158,28099315,0.020374,OCA2
chr15,28126241,28099315,0.018988,OCA2
chr15,28738603,28737583,0.157755,WHAMMP2
chr15,28739160,28737583,0.057342,WHAMMP2
chr15,28832311,28737583,0.036268,WHAMMP2
chr15,28832311,28884483,0.018191,APBA2
chr15,28885914,28737583,0.029383,WHAMMP2
chr15,28885914,28884483,0.037394,APBA2
chr15,28890876,28099315,0.017688,OCA2
chr15,28890876,28737583,0.047031,WHAMMP2
chr15,28890876,28884483,0.083218,APBA2
chr15,28919387,28884483,0.128891,APBA2
chr15,28938350,28884483,0.040589,APBA2
chr15,28942270,28884483,0.027286,APBA2
chr15,28948633,28884483,0.029529,APBA2
chr15,29262880,29269822,0.040699,NSMCE3
chr15,29269562,28099315,0.029327,OCA2
chr15,29269562,28737583,0.017482,WHAMMP2
chr15,29269562,28884483,0.042158,APBA2
chr15,29270552,29269822,0.160215,NSMCE3
chr15,30624509,30624494,0.063269,ARHGAP11B
chr15,30626252,30890559,0.031555,FAN1
chr15,30626252,30991628,0.022838,MTMR10
chr15,30990525,30991628,0.059733,MTMR10
chr15,30991941,30890559,0.027473,FAN1
chr15,31264397,30890559,0.022631,FAN1
chr15,31264397,30991628,0.019052,MTMR10
chr15,31264397,31326835,0.019196,KLF13
chr15,31264397,31870789,0.019248,OTUD7A
chr15,31266431,30890559,0.016034,FAN1
chr15,31326501,28099315,0.020889,OCA2
chr15,31326501,28884483,0.025035,APBA2
chr15,31326501,30624494,0.031502,ARHGAP11B
chr15,31326501,30890559,0.052076,FAN1
chr15,31326501,30991628,0.036474,MTMR10
chr15,31326501,31870789,0.058478,OTUD7A
chr15,31326501,32615144,0.016554,ARHGAP11A
chr15,31326501,33194714,0.02464,FMN1
chr15,31326501,33968497,0.016782,CHRM5
chr15,31326501,34969742,0.020379,AQR
chr15,31328332,28099315,0.019792,OCA2
chr15,31328332,28884483,0.016812,APBA2
chr15,31328332,30624494,0.031395,ARHGAP11B
chr15,31328332,30890559,0.054585,FAN1
chr15,31328332,30991628,0.050809,MTMR10
chr15,31328332,31326835,0.106335,KLF13
chr15,31328332,31870789,0.048682,OTUD7A
chr15,31328332,32615144,0.016578,ARHGAP11A
chr15,31328332,33194714,0.020802,FMN1
chr15,31328332,33968497,0.017829,CHRM5
chr15,31341757,31326835,0.015864,KLF13
chr15,31347335,30890559,0.018123,FAN1
chr15,31347335,30991628,0.015907,MTMR10
chr15,31347335,31326835,0.028694,KLF13
chr15,31347335,31870789,0.021298,OTUD7A
chr15,31353257,30890559,0.017095,FAN1
chr15,31353257,31870789,0.0174,OTUD7A
chr15,31361277,30624494,0.025613,ARHGAP11B
chr15,31361277,30890559,0.040741,FAN1
chr15,31361277,30991628,0.029399,MTMR10
chr15,31361277,31326835,0.036852,KLF13
chr15,31361277,31870789,0.042848,OTUD7A
chr15,31361277,33194714,0.016218,FMN1
chr15,31361277,33968497,0.016933,CHRM5
chr15,31392318,30890559,0.016228,FAN1
chr15,31392318,31870789,0.015254,OTUD7A
chr15,31435322,28099315,0.030942,OCA2
chr15,31435322,28737583,0.016499,WHAMMP2
chr15,31435322,28884483,0.025941,APBA2
chr15,31435322,29269822,0.016196,NSMCE3
chr15,31435322,30624494,0.040332,ARHGAP11B
chr15,31435322,30890559,0.071953,FAN1
chr15,31435322,30991628,0.071139,MTMR10
chr15,31435322,31326835,0.045225,KLF13
chr15,31435322,31870789,0.083382,OTUD7A
