chr,center,TSS,score,gene
chr19,342883,344815,0.103749,MIER2
chr19,343914,344815,0.026555,MIER2
chr19,488816,344815,0.015674,MIER2
chr19,488816,507497,0.020065,TPGS1
chr19,502966,507497,0.017435,TPGS1
chr19,507185,344815,0.032354,MIER2
chr19,507185,531760,0.045557,CDC34
chr19,507185,544034,0.03103,GZMM
chr19,507185,571277,0.02536,BSG
chr19,511260,507497,0.085138,TPGS1
chr19,511260,531760,0.0257,CDC34
chr19,511260,544034,0.018773,GZMM
chr19,531417,507497,0.016997,TPGS1
chr19,531417,544034,0.034318,GZMM
chr19,531417,571277,0.015134,BSG
chr19,532259,531760,0.045486,CDC34
chr19,532259,544034,0.017786,GZMM
chr19,533118,507497,0.020853,TPGS1
chr19,533118,531760,0.107613,CDC34
chr19,533118,544034,0.042062,GZMM
chr19,533118,571277,0.018558,BSG
chr19,556157,531760,0.016472,CDC34
chr19,556157,544034,0.025912,GZMM
chr19,556157,571277,0.024479,BSG
chr19,566566,544034,0.018086,GZMM
chr19,566566,571277,0.050944,BSG
chr19,567523,571277,0.029603,BSG
chr19,571089,571277,0.036596,BSG
chr19,572216,507497,0.01778,TPGS1
chr19,572216,531760,0.028435,CDC34
chr19,572216,544034,0.035889,GZMM
chr19,572216,633537,0.020872,POLRMT
chr19,572216,639879,0.019057,FGF22
chr19,633762,639879,0.120813,FGF22
chr19,633762,663233,0.018038,RNF126
chr19,639817,633537,0.019803,POLRMT
chr19,661357,639879,0.019396,FGF22
chr19,661357,663233,0.06244,RNF126
chr19,661357,676392,0.021378,FSTL3
chr19,662303,663233,0.027686,RNF126
chr19,663334,633537,0.017126,POLRMT
chr19,663334,639879,0.025558,FGF22
chr19,663334,676392,0.028139,FSTL3
chr19,665057,663233,0.018801,RNF126
chr19,667788,663233,0.017199,RNF126
chr19,680607,344815,0.015429,MIER2
chr19,680607,507497,0.016215,TPGS1
chr19,680607,531760,0.017738,CDC34
chr19,680607,544034,0.03435,GZMM
chr19,680607,571277,0.027854,BSG
chr19,680607,633537,0.041131,POLRMT
chr19,680607,639879,0.041478,FGF22
chr19,680607,663233,0.056653,RNF126
chr19,680607,676392,0.115799,FSTL3
chr19,680607,695498,0.143194,PRSS57
chr19,680607,797075,0.019664,PTBP1
chr19,680607,821955,0.021229,PLPPR3
chr19,680607,825097,0.02096,AZU1
chr19,680607,840999,0.020204,PRTN3
chr19,680607,851014,0.018652,ELANE
chr19,680607,859453,0.018901,CFD
chr19,680607,913245,0.016658,R3HDM4
chr19,680607,984332,0.018831,WDR18
chr19,680607,1026586,0.016141,CNN2
chr19,699435,695498,0.027772,PRSS57
chr19,700121,695498,0.01658,PRSS57
chr19,704029,676392,0.018007,FSTL3
chr19,704029,695498,0.061409,PRSS57
chr19,797478,676392,0.018487,FSTL3
chr19,797478,821955,0.053436,PLPPR3
chr19,797478,825097,0.043817,AZU1
chr19,797478,840999,0.034404,PRTN3
chr19,797478,851014,0.032501,ELANE
chr19,797478,859453,0.028046,CFD
chr19,797478,893218,0.017723,MED16
chr19,797478,913245,0.018962,R3HDM4
chr19,797478,917287,0.020595,KISS1R
chr19,797478,925781,0.01554,ARID3A
chr19,797478,984332,0.019914,WDR18
chr19,825041,821955,0.019499,PLPPR3
chr19,825041,825097,0.019397,AZU1
chr19,826446,821955,0.015107,PLPPR3
chr19,826446,825097,0.015028,AZU1
chr19,827725,821955,0.052609,PLPPR3
chr19,827725,840999,0.016281,PRTN3
chr19,859513,821955,0.018779,PLPPR3
chr19,859513,825097,0.01859,AZU1
chr19,859513,840999,0.028836,PRTN3
chr19,859513,851014,0.066856,ELANE
chr19,859513,917287,0.016887,KISS1R
chr19,862491,859453,0.026248,CFD
chr19,863992,859453,0.029552,CFD
chr19,893437,859453,0.020239,CFD
chr19,893437,913245,0.033316,R3HDM4
chr19,893437,917287,0.027176,KISS1R
chr19,907511,913245,0.020287,R3HDM4
chr19,908785,913245,0.020329,R3HDM4
chr19,909352,893218,0.025816,MED16
chr19,909352,913245,0.056334,R3HDM4
chr19,909352,917287,0.024622,KISS1R
chr19,913100,917287,0.032575,KISS1R
chr19,917506,913245,0.015463,R3HDM4
chr19,925760,917287,0.017115,KISS1R
chr19,925760,984332,0.023763,WDR18
chr19,926999,925781,0.053571,ARID3A
chr19,926999,984332,0.018004,WDR18
chr19,933138,925781,0.035245,ARID3A
chr19,941112,925781,0.024062,ARID3A
chr19,941112,984332,0.016942,WDR18
chr19,984157,925781,0.02037,ARID3A
chr19,1021419,633537,0.016315,POLRMT
chr19,1021419,639879,0.016779,FGF22
chr19,1021419,676392,0.017254,FSTL3
chr19,1021419,797075,0.029517,PTBP1
chr19,1021419,821955,0.023069,PLPPR3
chr19,1021419,825097,0.022278,AZU1
chr19,1021419,840999,0.022054,PRTN3
chr19,1021419,851014,0.02084,ELANE
chr19,1021419,859453,0.023156,CFD
chr19,1021419,893218,0.024339,MED16
chr19,1021419,913245,0.024036,R3HDM4
chr19,1021419,917287,0.024816,KISS1R
chr19,1021419,925781,0.028601,ARID3A
chr19,1021419,984332,0.031064,WDR18
chr19,1021419,1026586,0.197345,CNN2
chr19,1021419,1039997,0.06748,ABCA7
chr19,1021419,1065923,0.036245,ARHGAP45
chr19,1021419,1095380,0.029057,POLR2E
chr19,1021419,1103994,0.030151,GPX4
chr19,1021419,1174268,0.023807,SBNO2
chr19,1021419,1177558,0.026279,STK11
chr19,1021419,1248553,0.01864,MIDN
chr19,1026411,1021179,0.020288,TMEM259
chr19,1027306,1021179,0.017478,TMEM259
chr19,1027306,1026586,0.022815,CNN2
chr19,1038403,1021179,0.017109,TMEM259
chr19,1038403,1026586,0.0262,CNN2
chr19,1038403,1039997,0.051033,ABCA7
chr19,1040074,1026586,0.017196,CNN2
chr19,1041119,1039997,0.02468,ABCA7
chr19,1063121,1065923,0.020756,ARHGAP45
chr19,1068341,1065923,0.038813,ARHGAP45
chr19,1069374,1065923,0.04343,ARHGAP45
chr19,1074823,1065923,0.019216,ARHGAP45
chr19,1087886,917287,0.016231,KISS1R
chr19,1087886,984332,0.016966,WDR18
chr19,1087886,1021179,0.023994,TMEM259
chr19,1087886,1026586,0.022398,CNN2
chr19,1087886,1039997,0.03114,ABCA7
chr19,1087886,1065923,0.058405,ARHGAP45
chr19,1087886,1095380,0.071999,POLR2E
chr19,1087886,1103994,0.04506,GPX4
chr19,1087886,1174268,0.022172,SBNO2
chr19,1087886,1177558,0.022692,STK11
chr19,1095293,1039997,0.016253,ABCA7
chr19,1095293,1065923,0.019146,ARHGAP45
chr19,1095293,1103994,0.061982,GPX4
chr19,1101732,984332,0.017012,WDR18
chr19,1101732,1021179,0.026031,TMEM259
chr19,1101732,1026586,0.024053,CNN2
chr19,1101732,1039997,0.028533,ABCA7
chr19,1101732,1065923,0.034763,ARHGAP45
chr19,1101732,1095380,0.123624,POLR2E
chr19,1101732,1103994,0.125401,GPX4
chr19,1101732,1174268,0.029459,SBNO2
chr19,1101732,1177558,0.034364,STK11
chr19,1102618,1095380,0.029678,POLR2E
chr19,1102618,1103994,0.030085,GPX4
chr19,1103905,1021179,0.017939,TMEM259
chr19,1103905,1026586,0.016576,CNN2
chr19,1103905,1039997,0.019665,ABCA7
chr19,1103905,1065923,0.023961,ARHGAP45
chr19,1103905,1095380,0.085309,POLR2E
chr19,1103905,1174268,0.020297,SBNO2
chr19,1103905,1177558,0.023677,STK11
chr19,1104606,1095380,0.024447,POLR2E
chr19,1104606,1103994,0.024753,GPX4
chr19,1132831,1039997,0.017659,ABCA7
chr19,1132831,1065923,0.019755,ARHGAP45
chr19,1132831,1095380,0.022089,POLR2E
chr19,1132831,1103994,0.02218,GPX4
chr19,1132831,1174268,0.048404,SBNO2
chr19,1132831,1177558,0.022274,STK11
chr19,1155368,1174268,0.017778,SBNO2
chr19,1177490,1174268,0.030047,SBNO2
chr19,1180647,1174268,0.022607,SBNO2
chr19,1207494,1177558,0.036436,STK11
chr19,1214018,1177558,0.051287,STK11
chr19,1241729,1248553,0.025921,MIDN
chr19,1248982,544034,0.015202,GZMM
chr19,1248982,797075,0.015839,PTBP1
chr19,1248982,851014,0.016232,ELANE
chr19,1248982,859453,0.016453,CFD
chr19,1248982,913245,0.015692,R3HDM4
chr19,1248982,925781,0.020095,ARID3A
chr19,1248982,984332,0.022028,WDR18
chr19,1248982,1021179,0.023654,TMEM259
chr19,1248982,1026586,0.018479,CNN2
chr19,1248982,1039997,0.018185,ABCA7
chr19,1248982,1065923,0.018228,ARHGAP45
chr19,1248982,1095380,0.017659,POLR2E
chr19,1248982,1103994,0.019898,GPX4
chr19,1248982,1174268,0.025403,SBNO2
chr19,1248982,1177558,0.032453,STK11
chr19,1248982,1259384,0.072713,CIRBP
chr19,1248982,1270260,0.052776,CIRBP-AS1
chr19,1248982,1383527,0.024002,NDUFS7
chr19,1248982,1401570,0.02064,GAMT
chr19,1248982,1407569,0.017194,DAZAP1
chr19,1248982,1438358,0.019641,RPS15
chr19,1248982,1479219,0.016146,C19orf25
chr19,1248982,1490752,0.019841,PCSK4
chr19,1248982,1491166,0.01984,REEP6
chr19,1251515,1248553,0.0201,MIDN
chr19,1252580,676392,0.020163,FSTL3
chr19,1252580,840999,0.017115,PRTN3
chr19,1252580,851014,0.023418,ELANE
chr19,1252580,859453,0.015031,CFD
chr19,1252580,893218,0.019183,MED16
chr19,1252580,917287,0.020939,KISS1R
chr19,1252580,925781,0.018567,ARID3A
chr19,1252580,984332,0.024775,WDR18
chr19,1252580,1021179,0.021881,TMEM259
chr19,1252580,1026586,0.022476,CNN2
chr19,1252580,1039997,0.026085,ABCA7
chr19,1252580,1065923,0.023259,ARHGAP45
chr19,1252580,1095380,0.018165,POLR2E
chr19,1252580,1103994,0.023568,GPX4
chr19,1252580,1174268,0.023184,SBNO2
chr19,1252580,1177558,0.039608,STK11
chr19,1252580,1248553,0.133941,MIDN
chr19,1252580,1259384,0.084381,CIRBP
chr19,1252580,1270260,0.065148,CIRBP-AS1
chr19,1252580,1383527,0.035646,NDUFS7
chr19,1252580,1401570,0.026289,GAMT
chr19,1252580,1407569,0.028002,DAZAP1
chr19,1252580,1438358,0.02269,RPS15
chr19,1252580,1479219,0.019136,C19orf25
chr19,1252580,1490752,0.020841,PCSK4
chr19,1252580,1491166,0.02084,REEP6
chr19,1260132,840999,0.017378,PRTN3
chr19,1260132,859453,0.016614,CFD
chr19,1260132,893218,0.017048,MED16
chr19,1260132,913245,0.016211,R3HDM4
chr19,1260132,917287,0.016524,KISS1R
chr19,1260132,984332,0.020357,WDR18
chr19,1260132,1021179,0.017778,TMEM259
chr19,1260132,1026586,0.018218,CNN2
chr19,1260132,1039997,0.019014,ABCA7
chr19,1260132,1065923,0.018195,ARHGAP45
chr19,1260132,1095380,0.015339,POLR2E
chr19,1260132,1103994,0.019487,GPX4
chr19,1260132,1174268,0.025881,SBNO2
chr19,1260132,1177558,0.025005,STK11
chr19,1260132,1248553,0.081117,MIDN
chr19,1260132,1259384,0.195323,CIRBP
chr19,1260132,1270260,0.061755,CIRBP-AS1
chr19,1260132,1383527,0.027138,NDUFS7
chr19,1260132,1401570,0.025884,GAMT
chr19,1260132,1407569,0.024629,DAZAP1
chr19,1260132,1438358,0.02059,RPS15
chr19,1260132,1479219,0.019355,C19orf25
chr19,1260132,1490752,0.017258,PCSK4
chr19,1260132,1491166,0.017257,REEP6
chr19,1265943,1259384,0.021448,CIRBP
chr19,1266870,1248553,0.017985,MIDN
chr19,1266870,1259384,0.04072,CIRBP
chr19,1266870,1270260,0.021184,CIRBP-AS1
chr19,1269732,1177558,0.018985,STK11
chr19,1269732,1248553,0.054585,MIDN
chr19,1269732,1383527,0.018201,NDUFS7
chr19,1269732,1401570,0.019195,GAMT
chr19,1269732,1407569,0.016072,DAZAP1
chr19,1269732,1438358,0.015503,RPS15
chr19,1275670,1248553,0.019101,MIDN
chr19,1275670,1259384,0.021463,CIRBP
chr19,1275670,1270260,0.123424,CIRBP-AS1
chr19,1275670,1383527,0.031988,NDUFS7
chr19,1275670,1401570,0.029947,GAMT
chr19,1275670,1407569,0.023928,DAZAP1
chr19,1275670,1438358,0.021094,RPS15
chr19,1275670,1479219,0.016043,C19orf25
chr19,1383697,1401570,0.029387,GAMT
chr19,1383697,1407569,0.024803,DAZAP1
chr19,1407280,1383527,0.032942,NDUFS7
chr19,1407280,1401570,0.115283,GAMT
chr19,1407280,1438358,0.030332,RPS15
chr19,1407280,1479219,0.016275,C19orf25
chr19,1408681,1401570,0.017372,GAMT
chr19,1408681,1407569,0.021611,DAZAP1
chr19,1415438,1401570,0.016508,GAMT
chr19,1415438,1407569,0.024453,DAZAP1
chr19,1415438,1438358,0.021914,RPS15
chr19,1438570,1401570,0.018032,GAMT
chr19,1438570,1407569,0.022138,DAZAP1
chr19,1438570,1479219,0.017706,C19orf25
chr19,1479253,1490752,0.030941,PCSK4
chr19,1479253,1491166,0.030946,REEP6
chr19,1490720,1479219,0.032645,C19orf25
chr19,1592638,1605473,0.035823,UQCR11
chr19,1592638,1652615,0.016836,TCF3
chr19,1605908,1592865,0.051248,MBD3
chr19,1605908,1652615,0.037105,TCF3
chr19,1605908,1812276,0.020984,ATP8B3
chr19,1652747,1479219,0.016759,C19orf25
chr19,1652747,1490752,0.015171,PCSK4
chr19,1652747,1491166,0.01517,REEP6
chr19,1652747,1592865,0.029859,MBD3
chr19,1652747,1605473,0.046007,UQCR11
chr19,1652747,1812276,0.026413,ATP8B3
chr19,1652747,1848483,0.015487,REXO1
chr19,1812389,1605473,0.016487,UQCR11
chr19,1812389,1652615,0.016739,TCF3
chr19,1812389,1848483,0.018512,REXO1
chr19,1847801,1848483,0.030286,REXO1
chr19,1848607,1863579,0.018921,KLF16
chr19,1855458,1848483,0.02066,REXO1
chr19,1855458,1863579,0.043919,KLF16
chr19,1856866,1848483,0.021382,REXO1
chr19,1856866,1863579,0.045374,KLF16
chr19,1857453,1848483,0.020063,REXO1
chr19,1857453,1863579,0.042543,KLF16
chr19,1864238,1812276,0.015248,ATP8B3
chr19,1864238,1848483,0.04088,REXO1
chr19,1864238,1885496,0.027795,ABHD17A
chr19,1864238,1905399,0.018268,ADAT3
chr19,1864238,1905372,0.018268,SCAMP4
chr19,1875959,1848483,0.018938,REXO1
chr19,1875959,1863579,0.030321,KLF16
chr19,1875959,1885496,0.051785,ABHD17A
chr19,1875959,1905399,0.022659,ADAT3
chr19,1875959,1905372,0.022659,SCAMP4
chr19,1895675,1885496,0.019802,ABHD17A
chr19,1897833,1885496,0.029878,ABHD17A
chr19,1897833,1905399,0.019691,ADAT3
chr19,1897833,1905372,0.019691,SCAMP4
chr19,1902084,1863579,0.015222,KLF16
chr19,1902084,1885496,0.038197,ABHD17A
chr19,1902084,1905399,0.086802,ADAT3
chr19,1902084,1905372,0.086802,SCAMP4
chr19,1904498,1905399,0.032091,ADAT3
chr19,1904498,1905372,0.032091,SCAMP4
chr19,1905467,1885496,0.024391,ABHD17A
chr19,1905467,1941172,0.016261,CSNK1G2
chr19,1940832,1885496,0.019765,ABHD17A
chr19,1940832,1905399,0.024653,ADAT3
chr19,1940832,1905372,0.024653,SCAMP4
chr19,1940832,1954586,0.065747,CSNK1G2-AS1
chr19,1940832,2034881,0.02212,BTBD2
chr19,1942148,1941172,0.055704,CSNK1G2
chr19,1942148,1954586,0.031362,CSNK1G2-AS1
chr19,1943057,1941172,0.0438,CSNK1G2
chr19,1943057,1954586,0.024651,CSNK1G2-AS1
chr19,1948868,1954586,0.019171,CSNK1G2-AS1
chr19,2042335,1885496,0.015755,ABHD17A
chr19,2042335,1941172,0.01806,CSNK1G2
chr19,2042335,1954586,0.015366,CSNK1G2-AS1
chr19,2042335,2034881,0.034076,BTBD2
chr19,2042335,2051244,0.056097,MKNK2
chr19,2042335,2096673,0.015283,MOB3A
chr19,2042335,2096429,0.015281,IZUMO4
chr19,2050201,2034881,0.017063,BTBD2
chr19,2050201,2051244,0.082222,MKNK2
chr19,2061330,1905399,0.016183,ADAT3
chr19,2061330,1905372,0.016183,SCAMP4
chr19,2061330,1941172,0.018602,CSNK1G2
chr19,2061330,1954586,0.02013,CSNK1G2-AS1
chr19,2061330,2034881,0.046053,BTBD2
chr19,2061330,2051244,0.081423,MKNK2
chr19,2061330,2096673,0.021384,MOB3A
chr19,2061330,2096429,0.021383,IZUMO4
chr19,2061330,2164468,0.01606,AP3D1
chr19,2082331,2034881,0.015949,BTBD2
chr19,2082331,2096673,0.017189,MOB3A
chr19,2082331,2096429,0.017191,IZUMO4
chr19,2085473,2034881,0.01591,BTBD2
chr19,2085473,2051244,0.016732,MKNK2
chr19,2085473,2096673,0.030617,MOB3A
chr19,2085473,2096429,0.030622,IZUMO4
chr19,2090355,1941172,0.018877,CSNK1G2
chr19,2090355,1954586,0.020196,CSNK1G2-AS1
chr19,2090355,2034881,0.038322,BTBD2
chr19,2090355,2051244,0.028964,MKNK2
chr19,2090355,2096673,0.126246,MOB3A
chr19,2090355,2096429,0.12629,IZUMO4
chr19,2090355,2164468,0.023311,AP3D1
chr19,2090355,2163933,0.015844,DOT1L
chr19,2091301,2096673,0.04214,MOB3A
chr19,2091301,2096429,0.042157,IZUMO4
chr19,2094545,2034881,0.019662,BTBD2
chr19,2094545,2096673,0.064704,MOB3A
chr19,2094545,2096429,0.064696,IZUMO4
chr19,2096507,1941172,0.016406,CSNK1G2
chr19,2096507,1954586,0.017947,CSNK1G2-AS1
chr19,2096507,2034881,0.028705,BTBD2
chr19,2096507,2051244,0.024301,MKNK2
chr19,2096507,2164468,0.023831,AP3D1
chr19,2151662,2163933,0.030391,DOT1L
chr19,2151662,2237704,0.015574,PLEKHJ1
chr19,2151662,2236824,0.015575,SF3A2
chr19,2156152,2163933,0.019841,DOT1L
chr19,2163863,2164468,0.031838,AP3D1
chr19,2165356,2163933,0.017854,DOT1L
chr19,2168490,2164468,0.025204,AP3D1
chr19,2168490,2163933,0.061114,DOT1L
chr19,2168490,2249309,0.015959,AMH
chr19,2169038,2164468,0.026213,AP3D1
chr19,2169038,2163933,0.063553,DOT1L
chr19,2169038,2249309,0.016595,AMH
chr19,2236584,2164468,0.029242,AP3D1
chr19,2236584,2163933,0.023164,DOT1L
chr19,2236584,2249309,0.094596,AMH
chr19,2236584,2269509,0.052119,OAZ1
chr19,2236584,2328611,0.024238,LSM7
chr19,2236584,2328615,0.024238,SPPL2B
chr19,2236584,2427586,0.016073,TIMM13
chr19,2264526,2269509,0.016058,OAZ1
chr19,2266711,2269509,0.021461,OAZ1
chr19,2269847,2164468,0.017863,AP3D1
chr19,2269847,2163933,0.019522,DOT1L
chr19,2269847,2237704,0.047073,PLEKHJ1
chr19,2269847,2236824,0.04707,SF3A2
chr19,2269847,2249309,0.053354,AMH
chr19,2269847,2328611,0.019641,LSM7
chr19,2269847,2328615,0.019641,SPPL2B
chr19,2270922,2237704,0.024525,PLEKHJ1
chr19,2270922,2236824,0.024524,SF3A2
chr19,2270922,2249309,0.022043,AMH
chr19,2270922,2269509,0.056639,OAZ1
chr19,2270922,2328611,0.015103,LSM7
chr19,2270922,2328615,0.015103,SPPL2B
chr19,2271762,2269509,0.016641,OAZ1
chr19,2273857,2269509,0.017403,OAZ1
chr19,2290069,2237704,0.019383,PLEKHJ1
chr19,2290069,2236824,0.019383,SF3A2
chr19,2290069,2249309,0.023458,AMH
chr19,2290069,2269509,0.02293,OAZ1
chr19,2290069,2328611,0.030206,LSM7
chr19,2290069,2328615,0.030206,SPPL2B
chr19,2316002,2328611,0.01824,LSM7
chr19,2316002,2328615,0.01824,SPPL2B
chr19,2327910,2328611,0.059217,LSM7
chr19,2327910,2328615,0.059217,SPPL2B
chr19,2427559,2456959,0.037801,LMNB2
chr19,2427559,2462185,0.030945,LINC01775
chr19,2456164,2456959,0.016024,LMNB2
chr19,2457015,2462185,0.031073,LINC01775
chr19,2462200,2456959,0.016039,LMNB2
chr19,2476054,2456959,0.019853,LMNB2
chr19,2476054,2462185,0.022737,LINC01775
chr19,2476666,2476122,0.037088,GADD45B
chr19,2478438,2476122,0.022732,GADD45B
chr19,2479081,2476122,0.044596,GADD45B
chr19,2627866,2427586,0.019889,TIMM13
chr19,2627866,2456959,0.021274,LMNB2
chr19,2627866,2462185,0.022936,LINC01775
chr19,2627866,2476122,0.020766,GADD45B
chr19,2627866,2740028,0.017313,SLC39A3
chr19,2695667,2702694,0.017363,GNG7
chr19,2775760,2702694,0.017799,GNG7
chr19,2775760,2740028,0.029225,SLC39A3
chr19,2775760,2783362,0.106462,SGTA
chr19,2775760,2785503,0.040556,THOP1
chr19,2775760,2819868,0.022797,ZNF554
chr19,2783424,2702694,0.015523,GNG7
chr19,2783424,2740028,0.018068,SLC39A3
chr19,2783424,2785503,0.067844,THOP1
chr19,2783424,2819868,0.022881,ZNF554
chr19,2785413,2783362,0.04188,SGTA
chr19,2785413,2819868,0.020396,ZNF554
chr19,2841190,2785503,0.015174,THOP1
chr19,2841190,2819868,0.029962,ZNF554
chr19,2841190,2900928,0.018202,ZNF57
chr19,2900632,2841437,0.01703,ZNF555
chr19,2900632,2944971,0.022353,ZNF77
chr19,2945162,2841437,0.016445,ZNF555
chr19,2945162,2900928,0.027581,ZNF57
chr19,2945162,2977538,0.018334,TLE6
chr19,2945162,3094362,0.015641,GNA11
